<name>Finnick</name>	Finnick	Uriah	I am too distracted to protest against the affection. She laughs in my ear. Someone grabs me from behind and shouts in my ear. It’s [MASK]. I can’t turn around, so I reach back and squeeze his shoulder. “Congratulations!”
<name>Eaton</name>	Eaton	Marcus	“The second you orchestrated an attack against innocent people.” “Innocent people.” jeanine laughs. “I find that a little funny, coming from you. I would expect [MASK]’s son to understand that not all those people are innocent.”
<name>Tori</name>	Tori	Tori	Without a faction, we have no purpose and no reason to live. I shake my head. I can’t think like this. I have to stay calm. Finally the door opens, and [MASK] walks back in. I grip the arms of the chair.
<name>Effie</name>	Effie	Eric	He looks from her to me and says, “Quit it. Both of you.” Part of me wishes that he hadn’t stopped her. A fight would be a welcome distraction, especially now that [MASK] is climbing onto a box next to the railing.
<name>Tris</name>	Tris	Caleb	[MASK] eventually nods. I approach one of the fallen guards and take his gun, keeping my eyes away from the injury that killed him. My head pounds. I haven’t eaten; I haven’t slept; I haven’t sobbed or screamed or even paused for a moment.
<name>Reuben</name>	Reuben	Dauntless	“Insane, no,” I say. “[MASK], yes. If I see him. I’ll tell him you’re looking for him.” My mother, I see, wears the same smile I do.
<name>Al</name>	Al	Will	“Okay.” I smile. As we walk toward the Pit, I repeat the line [MASK] quoted to myself so I don’t forget it. I believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.
<name>Four</name>	Four	Tobias	His eyebrows draw in. He stands. He looks confused. He raises his gun. “Drop your weapon,” he says. “[MASK],” I say, “you’re in a simulation.” “Drop your weapon,” he repeats.
<name>Eric</name>	Eric	Eric	“Climb over the railing,” says [MASK] again, pronouncing each word slowly. “If you can hang over the chasm for five minutes, I will forget your cowardice. If you can’t, I will not allow you to continue initiation.”
<name>Al</name>	Al	Drew	I shouldn’t be able to think of anything but initiation. The simulations should disturb me more; they should break my mind, as they have been doing to most of the other initiates. [MASK] doesn’t sleep—he just stares at the wall, curled in a ball.
<name>Marcus</name>	Marcus	Abelt	[MASK] is curled around one of his fists. Slowly he unwinds it from his fingers. “This is for your own good,” he says, and his voice echoes a dozen times. A dozen Marcuses press into the circle of light, all holding the same belt, with the same blank expression.
<name>Peeta</name>	Peeta	Four	I haven’t seen a blue sky in a longtime, so when it spreads out above me, I feel the breath catch in my lungs and the effect is dizzying. Then the wind starts. It blows so hard I have to lean against [MASK] to stay on my feet.
<name>Tobias</name>	Tobias	Caleb	“We find the computers that control the simulation and destroy the data,” I say. “The program. Everything.” “Easier said than done,” [MASK] says. “It could be anywhere. We can’t just appear at the Erudite compound and start poking around.”
<name>James</name>	James	Will	.. what kind of person am I? Across the room, [MASK] stands with a woman in a blue dress. She doesn’t look old enough to be his mother, but she has the same crease between her eyebrows as he does, and the same golden hair.
<name>Harry</name>	Harry	Peter	“Therefore each stage of initiation is intended to prepare you in a different way. The first stage is primarily physical; the second, primarily emotional; the third, primarily mental.” “But what. . [MASK] yawns through his words.
<name>Mom</name>	Mom	Abnegation	At school we try not to draw attention to ourselves, but once were home, the games and jokes start. My natural tendency toward sarcasm is still not appreciated. Sarcasm is always at someone’s expense. Maybe it’s better that [MASK] wants me to suppress it.
<name>Haymitch</name>	Haymitch	Stiffs	“Now I’ve got [MASK], too?” “It must be because you’re so approachable,” I say flatly. “You know. Like a bed of nails.” He stares at me, and I don’t look away.
<name>Lucas</name>	Lucas	Will	They’re calling for an overthrow of the entire government.” [MASK] laughs. “No, they’re not. They’re arrogant and dull, and that’s why I left them, but they aren’t revolutionaries.
<name>He</name>	He	Tori	“I am your mother and I want to keep you safe.” “Is this because I’m a—” I start to say, but she presses her hand to my mouth. “Don’t say that word,” she hisses. “Ever.” So [MASK] was right.
<name>Four</name>	Four	Peter	To tell him that the only reason that I’m doing well is that there’s something different about my brain. [MASK] turns slowly, every limb infused with tension. A glare would have been less threatening than the look he gives me—a look of pure hatred.
