<name>Men</name>	Men	Babies	[MASK] were so much not a part of her life that she never even thought about them, or she hadn’t, until that morning. “Are you happy, sweetheart?” Or scared? Or mad? What did one feel? What was it like?
<name>Robert</name>	Robert	Brad	and she felt something warm run down her leg . . . and as she looked down, she saw that she was bleeding. “Oh, my God ...” she whispered, and then she called hoarsely for [MASK], and she just stood there, bleeding on the carpet.
<name>Jenna</name>	Jenna	Gayle	“Typical,” [MASK] had cracked with a grin and a raised eyebrow. Their mother usually thought of everything, planned for all contingencies, and was so organized as to make everyone groan when she started calling them in June to find out what their plans were for Thanksgiving.
<name>Michael</name>	Michael	Bill	But they were in the home stretch now. Her due date was only eight weeks away, and in another month they were going to let her get up, and it would be all right if she had the baby. “When can we see her?” [MASK] asked excitedly.
<name>her</name>	her	Diana	He chatted with her for a few minutes about what she did, and where she was from, and how long she’d been married, and then he pulled an empty chart closer to him on the desk and took out a pen as he glanced at [MASK] warmly.
<name>Emma</name>	Emma	Diana	[MASK] finally let him spend the night with her a month after he’d found her. “I don’t want to go back to the house,” she’d said quietly, and he understood that. Not yet at least.
<name>Emily</name>	Emily	Diana	And with that her brothers-in-law walked in and asked when dinner would be ready. “Patience, boys.” Their mother-in-law smiled, and shooed everyone into the next room, except [MASK]. “Are you really all right, dear?”
<name>Emma</name>	Emma	Pilar	and now he’s dead and I’ll never know him.” “No, but you may have another child. It won’t change this, but it might help.” “I think that’s the only thing that would,” [MASK] said honestly.
<name>Lucy</name>	Lucy	Pilar	It had been different for both of them, but it hadn’t been entirely unpleasant. They took a quick shower, and dressed, and rang for the nurse, holding out the cup to her when she arrived. And she asked [MASK] to come with her.
<name>Emily</name>	Emily	Di	And work was not an adequate substitute for children and a husband. “You don’t deserve to be alone for the rest of your life. You don’t need to be punished, [MASK]. You didn’t ‘do’ anything. It happened to you.
<name>Rosie</name>	Rosie	Pilar	[MASK] made some objection to it, and just as she was discussing it with him she had a huge contraction. Her whole enormous belly seemed to be caught in a huge vise and squeezed until it forced the air out of her and she almost couldn’t bear it.
<name>Emily</name>	Emily	Pilar	“Don’t you think you’re wearing yourself out?” he asked as he came into the nursery and sat down. “Maybe you should stop nursing him, or cut back at work or something.” It was rare for [MASK] to look so tired.
<name>Emily</name>	Emily	Brad	[MASK] walked into the room, listened to the conversation for a moment, and wagged his finger. She was torturing her mother now and loving every minute of it, like a naughty child who is savoring its misdeeds to the fullest.
<name>Philip</name>	Philip	Charlie	but [MASK] shook his head solemnly, and looked like an errant schoolboy. “No, I don’t. And I know it’s a rotten thing to do to her. But I really think she’ll be glad one day, if she gets pregnant.
<name>Tiffany</name>	Tiffany	Zale	He was planning to cook dinner for her, shower her with champagne, and give her the ring, which was heart shaped and had a tiny ruby in the center. He had bought it at [MASK]’s, and he thought she’d really love it.
<name>Oliver</name>	Oliver	Adam	“I have something to tell you all, which I know will come as something of a surprise. But life is full of wonderful surprises.” She smiled at [MASK] gurgling in his high chair as she said it.
<name>Dr. Andrews</name>	Dr. Andrews	Diana	But I do want you to understand that eleven months is not an abnormally long time. Most couples get pregnant after a year, but some people take a little longer. What about a vacation one of these days? That might be just what you need.” [MASK] smiled.
<name>Caroline</name>	Caroline	Andy	It wasn’t easy to give all that up, and it didn’t seem fair to her that [MASK] had to. “I think it’s unfair of you to live a childless life, because I have to. Why should you do that?”
<name>off</name>	off	olf	She was the perfect girl and he knew he loved her. “I love you too.” She smoothed his hair like a child’s as he drifted [MASK] to sleep, and she held him, wondering why it meant so much to him to have a baby.
<name>Tom</name>	Tom	Brad	“May I come too?” [MASK] asked hesitantly. There seemed to be nothing about this process that they hadn’t shared so far, and he wanted to be there for her, too, if there was going to be any unpleasant part of the treatment.
<name>Emma</name>	Emma	Pilar	“I want to hold her,” she said to him, and he reached in carefully and placed her in her mother’s arms, where she had never yet been, and [MASK] sat quietly as she held her.
<name>Esther</name>	Esther	Andy	But it’s more than that . . . it’s hard to explain . . . it’s just this incredible emptiness . . . this terrible yearning. It just makes me want to die sometimes. I can’t talk to anyone, not even [MASK].
<name>Tom</name>	Tom	Mark	She hadn’t been back in almost two years, and the seaminess of it had faded from her mind. All she remembered now was the razzle-dazzle and the excitement. “How come you didn’t go?” [MASK] asked as they ordered a pepperoni pizza.
<name>Mary</name>	Mary	Jane	He knew why they were there, and he was happy for her. He beckoned to her to come and look between [MASK]’s legs, and when she did, she could see the baby crowning. A tiny head with dark hair, slowly pushing its way through . .
<name>Emily</name>	Emily	Nancy	It had been an odd day for her, filled with hard work, endless demands on the part of her clients, some strange moments, and some unfamiliar feelings. She still couldn’t get over [MASK]’s news, or the prospect of her baby.
<name>Emma</name>	Emma	Hilary	She lumbered around, trying to chase [MASK] as she pulled herself to a standing position everywhere and endangered her life with whatever she found on the coffee table. “She’s a handful, isn’t she?” her mother commented admiringly.
<name>Tom</name>	Tom	Brad	She looked as though she were carrying baby on top of baby on top of baby. “That’s quite an accomplishment,” [MASK] teased her one night as he helped her out of the bath. She couldn’t do anything alone anymore.
<name>Carla</name>	Carla	Diana	She would sign a contract agreeing not to use alcohol or drugs or take undue risks, and in the hospital when the baby was born, she would turn it over to them with no problem. “What if you decide to keep it?” [MASK] said bluntly.
<name>She</name>	She	Pilar	And he was pleased to find that whatever contractions she’d had that morning had continued to dilate her cervix. It was obvious to him that it wouldn’t be long till [MASK] had her babies. “Something will get started soon,” he promised, and then went home.
<name>Emma</name>	Emma	Pilar	“Oh, it’s you,” she said, sounding surprised. “I thought it was the hospital. How are you?” [MASK] suddenly remembered how she had felt as a child, always an intrusion among far more important matters in her mother’s life.
<name>John</name>	John	Charlie	No harm would come to her as [MASK]’s wife. She was doing the right thing, and suddenly she knew it. “I love you,” he whispered as she stood at his side, and as she looked at him, she realized that she really loved him.
<name>Scarlett</name>	Scarlett	Charlie	“Thank you for working it all out for me,” he said miserably. He knew as he stood there that he would never try again. He couldn’t force her to come back to him, but he knew he would never remarry. “[MASK], I’m sorry . . .”
<name>Carlos</name>	Carlos	Seamus	You’ll probably get pregnant next year.” “Who’s pregnant? Not again!” [MASK] asked, as he walked through the dining room on the way to the kitchen. “You girls, you get pregnant every time a man looks at you!”
<name>the baby</name>	the baby	Christian	Was it something I did? Did I eat wrong, did I lie on one side all the time. . . . Why?” Her eyes filled with tears again as she looked at her husband, and he stood next to her as they looked down at [MASK].
<name>Tommy</name>	Tommy	Charlie	“With [MASK]?” She looked surprised and pleased and her mother nodded, looking happy too. She was pretty and young, and she hadn’t had room for a man in her life for a long time.
